Sales Person,Country,Product,Date,Amount,Boxes Shipped
Karlen McCaffrey,India,Manuka Honey Choco,04/07/2022,"$2,443.00",1970-01-01 00:00:00.000000581
Kelci Walkden,USA,After Nines,02/06/2022,$938.00,1970-01-01 00:00:00.000000016
Karlen McCaffrey,USA,Raspberry Choco,15/04/2022,"$14,749.00",1970-01-01 00:00:00.000000354
Mallorie Waber,Canada,Choco Coated Almonds,11/07/2022,"$4,781.00",1970-01-01 00:00:00.000000241
Andria Kimpton,India,Spicy Special Slims,23/02/2022,"$6,307.00",1970-01-01 00:00:00.000000142
Madelene Upcott,Canada,Almond Choco,22/08/2022,"$7,602.00",1970-01-01 00:00:00.000000102
Kaine Padly,USA,Peanut Butter Cubes,16/02/2022,"$6,790.00",1970-01-01 00:00:00.000000188
Van Tuxwell,USA,50% Dark Bites,13/01/2022,"$9,737.00",1970-01-01 00:00:00.000000160
Curtice Advani,Australia,Milk Bars,14/02/2022,"$6,979.00",1970-01-01 00:00:00.000000018
Roddy Speechley,India,Eclairs,10/06/2022,"$4,382.00",1970-01-01 00:00:00.000000303
Curtice Advani,India,Fruit & Nut Bars,07/07/2022,"$5,243.00",1970-01-01 00:00:00.000000176
Curtice Advani,Canada,Almond Choco,24/03/2022,"$4,865.00",1970-01-01 00:00:00.000000070
Brien Boise,Australia,Fruit & Nut Bars,06/06/2022,"$8,575.00",1970-01-01 00:00:00.000000023
Dotty Strutley,Australia,Drinking Coco,19/07/2022,$91.00,1970-01-01 00:00:00.000000135
Beverie Moffet,USA,Raspberry Choco,19/04/2022,"$14,798.00",1970-01-01 00:00:00.000000083
Marney O'Breen,India,85% Dark Bars,19/07/2022,"$2,205.00",1970-01-01 00:00:00.000000179
Jehu Rudeforth,Canada,Drinking Coco,15/07/2022,$441.00,1970-01-01 00:00:00.000000024
Ches Bonnell,New Zealand,Spicy Special Slims,14/02/2022,"$3,556.00",1970-01-01 00:00:00.000000018
Brien Boise,Canada,99% Dark & Pure,18/05/2022,"$16,793.00",1970-01-01 00:00:00.000000416
Barr Faughny,Australia,Fruit & Nut Bars,30/06/2022,"$15,421.00",1970-01-01 00:00:00.000000055
Andria Kimpton,Australia,50% Dark Bites,02/06/2022,"$4,438.00",1970-01-01 00:00:00.000000227
Andria Kimpton,Australia,Drinking Coco,28/06/2022,"$1,603.00",1970-01-01 00:00:00.000000048
Marney O'Breen,Australia,Organic Choco Syrup,16/05/2022,$273.00,1970-01-01 00:00:00.000000174
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2022,"$3,073.00",1970-01-01 00:00:00.000000302
Karlen McCaffrey,India,Almond Choco,06/07/2022,"$6,090.00",1970-01-01 00:00:00.000000149
Oby Sorrel,India,99% Dark & Pure,27/05/2022,"$10,255.00",1970-01-01 00:00:00.000000011
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2022,"$2,030.00",1970-01-01 00:00:00.000000011
Van Tuxwell,Australia,Organic Choco Syrup,10/08/2022,"$19,453.00",1970-01-01 00:00:00.000000014
Camilla Castle,India,50% Dark Bites,04/07/2022,"$9,275.00",1970-01-01 00:00:00.000000411
Oby Sorrel,India,Organic Choco Syrup,08/07/2022,"$6,181.00",1970-01-01 00:00:00.000000056
Jan Morforth,USA,Peanut Butter Cubes,22/07/2022,"$9,037.00",1970-01-01 00:00:00.000000102
Gigi Bohling,USA,Choco Coated Almonds,02/03/2022,"$12,313.00",1970-01-01 00:00:00.000000103
Gigi Bohling,UK,Almond Choco,10/01/2022,"$5,642.00",1970-01-01 00:00:00.000000009
Jehu Rudeforth,New Zealand,White Choc,11/03/2022,"$2,800.00",1970-01-01 00:00:00.000000241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2022,$959.00,1970-01-01 00:00:00.000000265
Van Tuxwell,UK,Organic Choco Syrup,26/08/2022,"$2,002.00",1970-01-01 00:00:00.000000214
Roddy Speechley,Canada,Milk Bars,13/07/2022,$609.00,1970-01-01 00:00:00.000000032
Camilla Castle,USA,Spicy Special Slims,11/02/2022,"$1,274.00",1970-01-01 00:00:00.000000244
Marney O'Breen,USA,Orange Choco,27/01/2022,"$7,595.00",1970-01-01 00:00:00.000000181
Van Tuxwell,UK,99% Dark & Pure,31/01/2022,"$4,725.00",1970-01-01 00:00:00.000000137
Camilla Castle,USA,White Choc,18/08/2022,"$9,681.00",1970-01-01 00:00:00.000000024
Andria Kimpton,USA,Raspberry Choco,30/06/2022,"$14,504.00",1970-01-01 00:00:00.000000021
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2022,$280.00,1970-01-01 00:00:00.000000311
Brien Boise,New Zealand,Mint Chip Choco,01/08/2022,$63.00,1970-01-01 00:00:00.000000181
Roddy Speechley,New Zealand,After Nines,25/05/2022,"$8,001.00",1970-01-01 00:00:00.000000010
Roddy Speechley,Canada,Organic Choco Syrup,10/01/2022,"$4,032.00",1970-01-01 00:00:00.000000082
Dennison Crosswaite,Australia,70% Dark Bites,07/02/2022,"$5,859.00",1970-01-01 00:00:00.000000108
Karlen McCaffrey,USA,Orange Choco,12/05/2022,"$11,095.00",1970-01-01 00:00:00.000000401
Madelene Upcott,Australia,Spicy Special Slims,07/03/2022,"$7,182.00",1970-01-01 00:00:00.000000408
Dennison Crosswaite,Australia,85% Dark Bars,05/04/2022,"$6,881.00",1970-01-01 00:00:00.000000420
Andria Kimpton,Canada,Caramel Stuffed Bars,03/01/2022,"$7,154.00",1970-01-01 00:00:00.000000348
Dennison Crosswaite,UK,Eclairs,24/03/2022,"$6,188.00",1970-01-01 00:00:00.000000270
Madelene Upcott,India,Raspberry Choco,07/07/2022,"$4,221.00",1970-01-01 00:00:00.000000009
Van Tuxwell,USA,After Nines,26/07/2022,$630.00,1970-01-01 00:00:00.000000264
Wilone O'Kielt,Australia,Organic Choco Syrup,07/07/2022,"$1,743.00",1970-01-01 00:00:00.000000111
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2022,"$2,919.00",1970-01-01 00:00:00.000000065
Roddy Speechley,New Zealand,Orange Choco,01/04/2022,$49.00,1970-01-01 00:00:00.000000097
Beverie Moffet,Australia,Eclairs,20/06/2022,"$1,827.00",1970-01-01 00:00:00.000000006
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2022,"$13,006.00",1970-01-01 00:00:00.000000482
Marney O'Breen,USA,50% Dark Bites,15/06/2022,"$1,064.00",1970-01-01 00:00:00.000000106
Husein Augar,USA,After Nines,08/04/2022,"$11,571.00",1970-01-01 00:00:00.000000180
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2022,"$5,740.00",1970-01-01 00:00:00.000000031
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,"$1,456.00",1970-01-01 00:00:00.000000359
Kelci Walkden,India,Eclairs,19/04/2022,"$5,334.00",1970-01-01 00:00:00.000000080
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,"$4,151.00",1970-01-01 00:00:00.000000296
Brien Boise,Canada,Spicy Special Slims,04/03/2022,"$8,106.00",1970-01-01 00:00:00.000000101
Karlen McCaffrey,New Zealand,70% Dark Bites,02/08/2022,$126.00,1970-01-01 00:00:00.000000040
Husein Augar,UK,Spicy Special Slims,25/08/2022,"$4,697.00",1970-01-01 00:00:00.000000042
Marney O'Breen,USA,Almond Choco,25/02/2022,"$7,798.00",1970-01-01 00:00:00.000000167
Kelci Walkden,India,Orange Choco,07/06/2022,"$9,408.00",1970-01-01 00:00:00.000000138
Jan Morforth,India,Spicy Special Slims,12/04/2022,"$1,939.00",1970-01-01 00:00:00.000000520
Ches Bonnell,India,Spicy Special Slims,06/07/2022,"$10,906.00",1970-01-01 00:00:00.000000094
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2022,"$5,929.00",1970-01-01 00:00:00.000000175
Madelene Upcott,Australia,Fruit & Nut Bars,05/01/2022,"$5,579.00",1970-01-01 00:00:00.000000092
Madelene Upcott,Canada,70% Dark Bites,24/01/2022,"$10,927.00",1970-01-01 00:00:00.000000141
Wilone O'Kielt,Australia,Drinking Coco,06/04/2022,$623.00,1970-01-01 00:00:00.000000283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2022,"$6,013.00",1970-01-01 00:00:00.000000021
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2022,"$1,505.00",1970-01-01 00:00:00.000000047
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2022,$476.00,1970-01-01 00:00:00.000000125
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2022,"$11,550.00",1970-01-01 00:00:00.000000396
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,"$17,318.00",1970-01-01 00:00:00.000000087
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2022,"$1,848.00",1970-01-01 00:00:00.000000027
Kelci Walkden,Australia,Eclairs,23/03/2022,"$7,273.00",1970-01-01 00:00:00.000000547
Curtice Advani,Canada,Spicy Special Slims,16/06/2022,$854.00,1970-01-01 00:00:00.000000118
Oby Sorrel,India,Raspberry Choco,14/04/2022,"$6,832.00",1970-01-01 00:00:00.000000046
Kelci Walkden,UK,Eclairs,25/01/2022,"$4,606.00",1970-01-01 00:00:00.000000057
Jan Morforth,India,Almond Choco,11/03/2022,"$4,466.00",1970-01-01 00:00:00.000000022
Dotty Strutley,UK,Almond Choco,28/07/2022,"$16,114.00",1970-01-01 00:00:00.000000096
Marney O'Breen,New Zealand,After Nines,09/03/2022,"$1,561.00",1970-01-01 00:00:00.000000044
Husein Augar,Australia,Orange Choco,28/06/2022,"$8,897.00",1970-01-01 00:00:00.000000188
Marney O'Breen,Australia,Milk Bars,28/07/2022,"$2,464.00",1970-01-01 00:00:00.000000387
Kelci Walkden,Canada,99% Dark & Pure,15/08/2022,"$4,830.00",1970-01-01 00:00:00.000000050
Kaine Padly,Australia,Manuka Honey Choco,12/01/2022,"$2,765.00",1970-01-01 00:00:00.000000264
Beverie Moffet,New Zealand,White Choc,24/03/2022,"$7,126.00",1970-01-01 00:00:00.000000007
Van Tuxwell,UK,Milk Bars,25/07/2022,"$4,263.00",1970-01-01 00:00:00.000000090
Oby Sorrel,Canada,99% Dark & Pure,01/08/2022,"$3,605.00",1970-01-01 00:00:00.000000403
Van Tuxwell,India,Organic Choco Syrup,16/05/2022,"$19,929.00",1970-01-01 00:00:00.000000174
Roddy Speechley,India,Smooth Sliky Salty,10/08/2022,"$5,103.00",1970-01-01 00:00:00.000000140
Jan Morforth,India,Eclairs,05/01/2022,"$2,541.00",1970-01-01 00:00:00.000000027
Ches Bonnell,UK,Smooth Sliky Salty,11/07/2022,"$5,663.00",1970-01-01 00:00:00.000000110
Wilone O'Kielt,USA,After Nines,25/04/2022,$392.00,1970-01-01 00:00:00.000000030
Gigi Bohling,New Zealand,Fruit & Nut Bars,04/04/2022,"$10,976.00",1970-01-01 00:00:00.000000121
Barr Faughny,USA,Raspberry Choco,12/04/2022,"$9,282.00",1970-01-01 00:00:00.000000101
Wilone O'Kielt,New Zealand,85% Dark Bars,02/08/2022,"$1,827.00",1970-01-01 00:00:00.000000117
Gigi Bohling,New Zealand,Manuka Honey Choco,28/06/2022,"$8,267.00",1970-01-01 00:00:00.000000272
Ches Bonnell,Australia,Eclairs,05/07/2022,"$4,116.00",1970-01-01 00:00:00.000000128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07/06/2022,"$2,093.00",1970-01-01 00:00:00.000000045
Brien Boise,New Zealand,Smooth Sliky Salty,18/01/2022,"$1,015.00",1970-01-01 00:00:00.000000027
Brien Boise,Australia,Baker's Choco Chips,04/01/2022,"$12,516.00",1970-01-01 00:00:00.000000212
Dennison Crosswaite,Australia,99% Dark & Pure,31/01/2022,"$2,758.00",1970-01-01 00:00:00.000000018
Kelci Walkden,India,Almond Choco,14/03/2022,"$3,297.00",1970-01-01 00:00:00.000000149
Camilla Castle,Australia,70% Dark Bites,29/04/2022,"$6,048.00",1970-01-01 00:00:00.000000477
Oby Sorrel,India,Smooth Sliky Salty,07/02/2022,"$10,101.00",1970-01-01 00:00:00.000000108
Kaine Padly,UK,Organic Choco Syrup,31/03/2022,"$2,282.00",1970-01-01 00:00:00.000000178
Marney O'Breen,India,Caramel Stuffed Bars,16/03/2022,"$4,361.00",1970-01-01 00:00:00.000000081
Karlen McCaffrey,UK,Eclairs,25/01/2022,"$7,798.00",1970-01-01 00:00:00.000000196
Van Tuxwell,India,Baker's Choco Chips,20/06/2022,"$3,052.00",1970-01-01 00:00:00.000000447
Gigi Bohling,UK,After Nines,29/03/2022,"$8,029.00",1970-01-01 00:00:00.000000175
Curtice Advani,Australia,Orange Choco,12/07/2022,$854.00,1970-01-01 00:00:00.000000136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/07/2022,"$5,460.00",1970-01-01 00:00:00.000000138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/01/2022,"$3,017.00",1970-01-01 00:00:00.000000184
Andria Kimpton,USA,85% Dark Bars,05/04/2022,"$8,911.00",1970-01-01 00:00:00.000000082
Jehu Rudeforth,Canada,Milk Bars,21/02/2022,"$7,203.00",1970-01-01 00:00:00.000000012
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/05/2022,"$13,083.00",1970-01-01 00:00:00.000000014
Mallorie Waber,Australia,Milk Bars,29/07/2022,"$2,779.00",1970-01-01 00:00:00.000000104
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,"$9,058.00",1970-01-01 00:00:00.000000046
Marney O'Breen,UK,Caramel Stuffed Bars,19/07/2022,"$3,549.00",1970-01-01 00:00:00.000000112
Mallorie Waber,New Zealand,Manuka Honey Choco,13/04/2022,"$9,436.00",1970-01-01 00:00:00.000000011
Roddy Speechley,India,Peanut Butter Cubes,11/02/2022,"$10,283.00",1970-01-01 00:00:00.000000021
Roddy Speechley,New Zealand,Milk Bars,02/03/2022,"$5,446.00",1970-01-01 00:00:00.000000116
Ches Bonnell,Australia,White Choc,02/03/2022,"$1,043.00",1970-01-01 00:00:00.000000202
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,"$12,586.00",1970-01-01 00:00:00.000000006
Kelci Walkden,India,After Nines,07/01/2022,"$1,687.00",1970-01-01 00:00:00.000000520
Brien Boise,UK,White Choc,12/04/2022,"$5,299.00",1970-01-01 00:00:00.000000167
Van Tuxwell,Canada,Almond Choco,27/06/2022,"$3,213.00",1970-01-01 00:00:00.000000072
Jehu Rudeforth,Australia,50% Dark Bites,14/01/2022,"$5,194.00",1970-01-01 00:00:00.000000418
Karlen McCaffrey,UK,Baker's Choco Chips,07/02/2022,"$4,753.00",1970-01-01 00:00:00.000000389
Jehu Rudeforth,Australia,Orange Choco,23/03/2022,"$13,706.00",1970-01-01 00:00:00.000000026
Marney O'Breen,India,Peanut Butter Cubes,10/01/2022,"$6,489.00",1970-01-01 00:00:00.000000146
Oby Sorrel,UK,Choco Coated Almonds,17/03/2022,"$9,324.00",1970-01-01 00:00:00.000000041
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,"$10,829.00",1970-01-01 00:00:00.000000054
Barr Faughny,Australia,White Choc,04/07/2022,"$8,113.00",1970-01-01 00:00:00.000000370
Kaine Padly,Canada,Peanut Butter Cubes,04/07/2022,"$3,269.00",1970-01-01 00:00:00.000000176
Dotty Strutley,USA,Manuka Honey Choco,10/08/2022,$273.00,1970-01-01 00:00:00.000000210
Dennison Crosswaite,Australia,50% Dark Bites,01/04/2022,"$7,287.00",1970-01-01 00:00:00.000000012
Gigi Bohling,India,Raspberry Choco,22/02/2022,"$2,583.00",1970-01-01 00:00:00.000000159
Camilla Castle,UK,White Choc,03/01/2022,"$9,982.00",1970-01-01 00:00:00.000000187
Karlen McCaffrey,India,Drinking Coco,31/05/2022,"$4,795.00",1970-01-01 00:00:00.000000233
Dotty Strutley,UK,99% Dark & Pure,03/01/2022,"$9,310.00",1970-01-01 00:00:00.000000282
Husein Augar,New Zealand,Caramel Stuffed Bars,27/01/2022,$497.00,1970-01-01 00:00:00.000000475
Barr Faughny,UK,50% Dark Bites,28/01/2022,$581.00,1970-01-01 00:00:00.000000065
Curtice Advani,Australia,Organic Choco Syrup,28/06/2022,"$3,472.00",1970-01-01 00:00:00.000000311
Husein Augar,UK,Choco Coated Almonds,02/03/2022,"$4,333.00",1970-01-01 00:00:00.000000043
Wilone O'Kielt,Australia,After Nines,27/05/2022,"$3,325.00",1970-01-01 00:00:00.000000026
Dennison Crosswaite,USA,Almond Choco,30/06/2022,"$11,718.00",1970-01-01 00:00:00.000000084
Barr Faughny,Canada,Peanut Butter Cubes,07/06/2022,"$2,100.00",1970-01-01 00:00:00.000000078
Kaine Padly,USA,70% Dark Bites,12/05/2022,"$4,018.00",1970-01-01 00:00:00.000000100
Barr Faughny,New Zealand,Raspberry Choco,29/07/2022,"$6,468.00",1970-01-01 00:00:00.000000066
Dennison Crosswaite,UK,White Choc,03/08/2022,"$7,238.00",1970-01-01 00:00:00.000000265
Barr Faughny,India,Baker's Choco Chips,18/08/2022,"$6,454.00",1970-01-01 00:00:00.000000141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14/06/2022,"$3,115.00",1970-01-01 00:00:00.000000042
Beverie Moffet,UK,White Choc,30/06/2022,"$6,475.00",1970-01-01 00:00:00.000000076
Camilla Castle,New Zealand,Mint Chip Choco,13/06/2022,"$1,162.00",1970-01-01 00:00:00.000000190
Ches Bonnell,UK,Orange Choco,27/04/2022,"$14,238.00",1970-01-01 00:00:00.000000054
Jan Morforth,Australia,White Choc,27/07/2022,"$3,472.00",1970-01-01 00:00:00.000000032
Mallorie Waber,Canada,85% Dark Bars,20/04/2022,"$1,428.00",1970-01-01 00:00:00.000000424
Rafaelita Blaksland,India,Spicy Special Slims,04/01/2022,"$8,064.00",1970-01-01 00:00:00.000000134
Ches Bonnell,Australia,Mint Chip Choco,21/02/2022,"$9,660.00",1970-01-01 00:00:00.000000092
Karlen McCaffrey,Australia,White Choc,05/01/2022,"$7,357.00",1970-01-01 00:00:00.000000048
Beverie Moffet,India,Drinking Coco,15/07/2022,"$6,055.00",1970-01-01 00:00:00.000000046
Brien Boise,Australia,Choco Coated Almonds,25/05/2022,"$5,124.00",1970-01-01 00:00:00.000000062
Karlen McCaffrey,Canada,Eclairs,20/04/2022,"$3,479.00",1970-01-01 00:00:00.000000358
Gigi Bohling,USA,99% Dark & Pure,02/06/2022,$784.00,1970-01-01 00:00:00.000000249
Marney O'Breen,UK,Smooth Sliky Salty,13/05/2022,"$18,991.00",1970-01-01 00:00:00.000000088
Beverie Moffet,New Zealand,Baker's Choco Chips,03/08/2022,"$1,372.00",1970-01-01 00:00:00.000000144
Beverie Moffet,Australia,Milk Bars,25/05/2022,$735.00,1970-01-01 00:00:00.000000390
Van Tuxwell,UK,Raspberry Choco,16/03/2022,"$6,538.00",1970-01-01 00:00:00.000000079
Jan Morforth,Australia,Orange Choco,04/07/2022,"$3,199.00",1970-01-01 00:00:00.000000122
Jehu Rudeforth,India,50% Dark Bites,05/07/2022,"$3,472.00",1970-01-01 00:00:00.000000135
Madelene Upcott,USA,After Nines,15/03/2022,"$4,571.00",1970-01-01 00:00:00.000000430
Barr Faughny,UK,Raspberry Choco,22/08/2022,"$5,481.00",1970-01-01 00:00:00.000000069
Ches Bonnell,Australia,70% Dark Bites,12/01/2022,"$3,136.00",1970-01-01 00:00:00.000000125
Marney O'Breen,UK,Baker's Choco Chips,10/06/2022,$252.00,1970-01-01 00:00:00.000000154
Kaine Padly,Australia,Peanut Butter Cubes,25/03/2022,"$5,460.00",1970-01-01 00:00:00.000000286
Rafaelita Blaksland,India,Almond Choco,27/07/2022,"$3,395.00",1970-01-01 00:00:00.000000099
Husein Augar,UK,Caramel Stuffed Bars,15/04/2022,"$14,938.00",1970-01-01 00:00:00.000000433
Roddy Speechley,India,Orange Choco,27/06/2022,"$4,053.00",1970-01-01 00:00:00.000000019
Jehu Rudeforth,UK,70% Dark Bites,14/04/2022,"$5,565.00",1970-01-01 00:00:00.000000258
Husein Augar,Australia,Manuka Honey Choco,15/03/2022,"$7,161.00",1970-01-01 00:00:00.000000092
Madelene Upcott,USA,Eclairs,18/03/2022,"$8,883.00",1970-01-01 00:00:00.000000200
Brien Boise,India,Eclairs,29/04/2022,"$1,351.00",1970-01-01 00:00:00.000000061
Mallorie Waber,New Zealand,White Choc,25/02/2022,"$3,171.00",1970-01-01 00:00:00.000000246
Husein Augar,USA,Milk Bars,02/03/2022,$854.00,1970-01-01 00:00:00.000000056
Van Tuxwell,Australia,Milk Bars,20/06/2022,"$7,910.00",1970-01-01 00:00:00.000000087
Beverie Moffet,Canada,White Choc,15/07/2022,"$9,275.00",1970-01-01 00:00:00.000000173
Dotty Strutley,Australia,50% Dark Bites,12/05/2022,"$3,108.00",1970-01-01 00:00:00.000000252
Mallorie Waber,New Zealand,Organic Choco Syrup,01/07/2022,"$5,075.00",1970-01-01 00:00:00.000000256
Husein Augar,USA,85% Dark Bars,08/08/2022,$378.00,1970-01-01 00:00:00.000000054
Madelene Upcott,Australia,50% Dark Bites,25/07/2022,"$7,350.00",1970-01-01 00:00:00.000000006
Wilone O'Kielt,UK,Drinking Coco,18/05/2022,"$3,388.00",1970-01-01 00:00:00.000000055
Camilla Castle,India,Peanut Butter Cubes,15/07/2022,"$11,837.00",1970-01-01 00:00:00.000000277
Curtice Advani,India,70% Dark Bites,05/07/2022,"$2,282.00",1970-01-01 00:00:00.000000044
Mallorie Waber,USA,Manuka Honey Choco,04/07/2022,"$5,425.00",1970-01-01 00:00:00.000000096
Dotty Strutley,UK,70% Dark Bites,20/06/2022,"$1,267.00",1970-01-01 00:00:00.000000216
Gunar Cockshoot,Australia,Almond Choco,25/01/2022,"$3,752.00",1970-01-01 00:00:00.000000424
Kaine Padly,New Zealand,Spicy Special Slims,01/07/2022,"$7,728.00",1970-01-01 00:00:00.000000037
Gigi Bohling,USA,50% Dark Bites,13/04/2022,"$2,296.00",1970-01-01 00:00:00.000000059
Beverie Moffet,UK,Smooth Sliky Salty,04/05/2022,"$4,403.00",1970-01-01 00:00:00.000000076
Beverie Moffet,Australia,Baker's Choco Chips,04/08/2022,"$3,192.00",1970-01-01 00:00:00.000000109
Beverie Moffet,India,70% Dark Bites,01/06/2022,$448.00,1970-01-01 00:00:00.000000146
Jehu Rudeforth,UK,Choco Coated Almonds,22/04/2022,"$4,270.00",1970-01-01 00:00:00.000000185
Kaine Padly,USA,50% Dark Bites,03/08/2022,$70.00,1970-01-01 00:00:00.000000027
Ches Bonnell,USA,Orange Choco,10/06/2022,"$1,743.00",1970-01-01 00:00:00.000000069
Gunar Cockshoot,UK,Manuka Honey Choco,27/06/2022,"$6,762.00",1970-01-01 00:00:00.000000046
Marney O'Breen,Australia,Smooth Sliky Salty,03/01/2022,"$3,745.00",1970-01-01 00:00:00.000000170
Marney O'Breen,India,After Nines,11/07/2022,"$2,639.00",1970-01-01 00:00:00.000000179
Ches Bonnell,New Zealand,Milk Bars,17/08/2022,"$4,389.00",1970-01-01 00:00:00.000000126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/01/2022,"$2,604.00",1970-01-01 00:00:00.000000065
Ches Bonnell,India,Organic Choco Syrup,08/03/2022,"$16,569.00",1970-01-01 00:00:00.000000099
Mallorie Waber,Australia,Orange Choco,07/03/2022,"$14,658.00",1970-01-01 00:00:00.000000275
Husein Augar,India,70% Dark Bites,09/05/2022,"$6,454.00",1970-01-01 00:00:00.000000157
Barr Faughny,New Zealand,85% Dark Bars,23/05/2022,"$2,100.00",1970-01-01 00:00:00.000000157
